,t,hexbug,x,y
0,0,0,405.1491643933109,332.4536370321509
1,0,1,404.76574809508,497.62227797995047
2,0,2,428.6668606756463,543.5193497987136
3,0,3,620.2807091022325,605.1308054072416
4,0,4,706.4087578149009,296.5433973680301
5,1,0,405.82230475246286,336.1559090074861
6,1,1,400.01429267418376,502.3737334008467
7,1,2,432.532540997149,544.7618899020538
8,1,3,625.2822411242284,605.1308054072416
9,1,4,701.6573023940048,299.2942399801279
10,2,0,404.4760240341591,341.5410318807011
11,2,1,396.013067056587,508.37557182724186
12,2,2,433.9131411119714,539.5156094657286
13,2,3,630.7839263484241,604.3805756039421
14,2,4,699.1565363830067,299.2942399801279
15,3,0,401.11032223839976,348.60900565179566
16,3,1,393.01214784338936,512.8769506470383
17,3,2,434.27523430268906,533.2054497959547
18,3,3,634.0349221627215,603.8804224017426
19,3,4,692.654544754412,299.2942399801279
20,4,0,399.764041520096,350.62842672925126
21,4,1,392.0118414389902,513.8772570514375
22,4,2,432.7747746960903,534.2057562003539
23,4,3,640.2868371902165,602.129886194044
24,4,4,687.9030893335157,299.2942399801279
25,5,0,397.7446204426405,355.3404092433143
26,5,1,391.2616116356908,513.3771038492379
27,5,2,431.5243916905912,534.9559860036533
28,5,3,647.2889820210108,601.1295797896448
29,5,4,685.6523999236176,300.5446229856269
30,6,0,397.7446204426405,357.6964005003459
31,6,1,393.7623776466888,513.6271804503376
32,6,2,430.5240852861921,535.9562924080525
33,6,3,656.0416630595038,596.6282009698484
34,6,4,683.1516339126196,300.5446229856269
35,7,0,398.0811906222164,360.3889619369533
36,7,1,394.2625308488884,517.6284060679344
37,7,2,434.27523430268906,537.7068286157511
38,7,3,660.5430418793002,593.6272817566509
39,7,4,680.4007913005219,301.0447761878265
40,8,0,398.0811906222164,363.4180935531367
41,8,1,398.513833067585,525.3807807020282
42,8,2,437.77630671808623,537.9569052168508
43,8,3,664.7943440979968,591.1265157456528
44,8,4,676.8997188851246,301.2948527889263
45,9,0,397.07148008348855,365.4375146305923
46,9,1,399.764216073084,527.8815467130262
47,9,2,439.7769195268846,540.9578244300485
48,9,3,669.7958761199927,588.1255965324552
49,9,4,674.6490294752264,301.0447761878265
50,10,0,396.0617695447608,369.8129269650794
51,10,1,402.01490548298216,529.6320829207248
52,10,2,444.5283749477808,542.9584372388468
53,10,3,668.5454931144938,587.6254433302556
54,10,4,670.14765065543,304.5458486032237
55,11,0,395.05205900603295,374.18833929956656
56,11,1,405.2659012972796,530.3823127240242
57,11,2,450.78028997527576,544.9590500476452
58,11,3,666.2948037045956,585.874907122557
59,11,4,668.897267649931,306.2963848109223
60,12,0,391.3497870306977,378.5637516340537
61,12,1,403.7654416906808,527.1313169097268
62,12,2,448.7796771664774,551.46104167624
63,12,3,668.7955697155935,580.6232984994613
64,12,4,665.3961952345338,307.29669121532146
65,13,0,388.3206554145143,381.92945342981307
66,13,1,401.2646756796828,522.1297848877308
67,13,2,446.0288345543796,556.2124970971362
68,13,3,671.0462591254918,574.8715366741659
69,13,4,661.1448930158373,307.7968444175211
70,14,0,385.2915237983309,384.9585850459964
71,14,1,399.764216073084,518.3786358712339
72,14,2,444.0282217455812,554.9621140916372
73,14,3,671.2963357265916,568.1194684444713
74,14,4,657.64382060044,306.2963848109223
75,15,0,381.5892518229956,387.31457630302793
76,15,1,397.51352666318576,518.128559270134
77,15,2,438.7766131224854,555.212190692737
78,15,3,670.796182524392,561.3674002147767
79,15,4,653.3925183817435,306.0463082098225
80,16,0,380.9161114638438,390.0071377396354
81,16,1,396.2631436576868,516.6280996635353
82,16,2,436.0257705103877,555.4622672938368
83,16,3,667.2951101089948,552.6147191762838
84,16,4,649.6413693652464,303.7956187999243
85,17,0,379.906400925116,393.0362693558188
86,17,1,396.2631436576868,512.6268740459385
87,17,2,436.27584711148745,549.4604288674416
88,17,3,669.2957229177932,546.6128807498885
89,17,4,646.3903735509491,302.2951591933255
90,18,0,379.906400925116,396.06540097200224
91,18,1,396.013067056587,509.3758782316411
92,18,2,435.77569390928784,539.9575180256493
93,18,3,668.295416513394,544.1121147388906
94,18,4,639.6383053212545,302.7953123955251
95,19,0,378.56012020681226,398.7579624086097
